title,post_date,edit_date,contributor_id,contributor_rank,message_text,post_moderation,category,url
More Connects to win more of the work you love,2/16/21 5:23,2/16/21 5:28,13718e7c84567306,Moderator,"Hi Medjadi,You’ll see your monthly free Connects added to your account within 24 hours since the start of your new billing cycle date.You can find this date on your ""Memberships and Connects"" page under User Settings.Thank you.Pradeep H",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/2/21 7:05,,add87337521973ac,Moderator,"Hi Marija,To purchase Connects, you can go to Settings > Membership & Connects page and click on the green 'Add More Connects' buton.Please note that if you have sufficient balance available from Upwork earnings, you can use this balance to pay for your membership or purchase additional Connects. If your balance isn't sufficient, we'll charge your chosen billing method. Feel free to check out this help article for more information.Thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/12/21 6:44,,7b71a0bd29620336,ActiveMember,"I won a few interviews, but I have not received any connects for them.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/14/21 6:04,,d603a693b03c7be6,ActiveMember,Hi! I received earned 10 connects from one of my proposals that says it came from my interview with my prospecting client but I didn't actually get an interview and I already checked my proposals. My proposal is still in Active Proposals not in Invite Interview.,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/6/21 15:30,,3a8aa9c8b44d4876,Moderator,"Hi Ramsha,Sorry about any confusion this could've caused you. One of our agents reached out to you via a support ticket to further clarify.Thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/14/21 12:36,,5c252bdc2f6dcdd6,CommunityGuru,"If there was no interview, then you don't get any bonus connects. But you got a new project, so isn't that better than getting $1.50 worth of connects?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/5/21 0:12,,4313c1431569043c,Moderator,"Hi Emmanuel,I've escalated your concern to the team for further checking. One of our agents will reach out and assist you directly via a support ticket.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/10/21 13:16,,cdd86a24f34ab7cd,ActiveMember,"Hello,I am interested - when we submit the proposal and client invites for the interview, we (freelancers) take 10 connections, but when client invites us for interview, what happens in this case? will we still take connections?Thanks!",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/11/21 3:18,3/11/21 3:20,cebb1fc3b586f500,ActiveMember,"Hi Bruno,Thanks for the reply.If so, then I would like to know why Upwork has an active article (link is provided in my initial post) clearly stating that 80 connects granted upon registration AND there is a bonus once the readiness test is completed?Besides, if Upwork gives only 40 connects to new freelancers - why I was given 50?It does not make sense to me. Is there a chance to contact their actual support team and not the community?Best regards,Nikola",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/10/21 16:09,3/10/21 16:12,294f4a1f319f25e2,ActiveMember,"Hello!When you register as a new freelancer on Upwork, you’ll have 40 Connects to get started. When you completethe Upwork Readiness Test, you can win another 40 Connects -- that's 80 FREE Connects!You can learn more through this link: Upwork virtual currencyThanks,",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/12/21 0:19,,b4c645be9b07f156,ActiveMember,"I know it's business that's ok. As a newbie, you spend all your connects without landing any job and then asked to purchase connects to continue proposing, how do you quell the skepticism?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/12/21 4:10,,f5564590a4e6b266,ActiveMember,"I do not have free connects available. Withdrawing proposal will not help. The jobs i have applied for, have not activity since days. No relevant upwork certificaiton available. Would these connects reset next month? Or should I keep waiting?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/2/21 6:39,,f2f7074a367fd9e7,Moderator,"Hi Marija,Feel free to send as many proposals as you would like. Once you`ve used your available Connects you will need to purchase more if you would like to send new proposals. Thank you.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/12/21 5:18,,a51fe3a2a502cb4a,ActiveMember,"Is there a way to reverse the connects points i.e. we usually have to use our connects to apply.Required Connects to submit a proposal:XWhile it's absolutely fine to help those, who message me to apply for a job but I have often seen that it's usually in the context of sourcing free help.I don't mind offering that as long as I'm able to reverse those points to apply for the other jobs.Any help?",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/9/21 10:18,,6834c00511346f11,ActiveMember,I was interviewed by a client but didn't receive any Connects for getting the interview. Why?Thanks!Amy,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,2/12/21 14:30,,f7f04c39ed06458f,Moderator,"HiHassan andArtem,A bonus of 10 free Connectswill be automatically added to your account within 24 hours ifyou fullfilled all these steps: Submit a proposal to a job Receive a request from a client to interview Respond, connect, and earn a bonus of 10 Connects!We are not awarding Connects in cases where you are invited to interview for a job post without submitting a proposal first.Thank you!",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/10/21 5:38,,6158a034ca1a5305,ActiveMember,I havent receive free connects after responding to an interview.,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/5/21 2:26,,789c7c9cc5edff5a,ActiveMember,"Nope, those came separately, see attached.",Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
More Connects to win more of the work you love,3/5/21 3:00,,a3ecf9deae3ade19,ActiveMember,Still not received. Afetr how much time you received that connects?,Unedited,Announcements,https://community.upwork.com/t5/Announcements/More-Connects-to-win-more-of-the-work-you-love/td-p/837593
